-0.079855,0.099459,76,75,Bacteria sp. [ref_mOTU_v25_00077],0
-0.044895,0.039104,84,83,Enterobacterales sp. [ref_mOTU_v25_00085],0
-0.090802,0.068758,85,84,Klebsiella michiganensis/oxytoca [ref_mOTU_v25_00086],0
0.1088,-0.15647,94,93,Proteobacteria sp. [ref_mOTU_v25_00095],0
-0.027965,0.032596,95,94,Enterobacteriaceae sp. [ref_mOTU_v25_00096],0
-0.15216,-0.15297,280,279,Streptococcus sp. [ref_mOTU_v25_00282],0
-0.11829,-0.10201,281,280,Streptococcus sp. [ref_mOTU_v25_00283],0
-0.13772,-0.15809,294,293,Streptococcus oralis/pseudopneumoniae [ref_mOTU_v25_00296],0
-0.10261,-0.19683,298,297,Streptococcus peroris [ref_mOTU_v25_00300],0
-0.1598,-0.070722,299,298,Streptococcus sp. [ref_mOTU_v25_00301],0
-0.12498,-0.18134,305,304,Streptococcus pseudopneumoniae/infantis [ref_mOTU_v25_00307],0
-0.15416,-0.010227,308,307,Streptococcus sp. [ref_mOTU_v25_00310],0
-0.15835,-0.071796,309,308,Streptococcus australis [ref_mOTU_v25_00311],0
-0.10974,0.19831,310,309,Streptococcus parasanguinis [ref_mOTU_v25_00312],1
-0.11998,-0.093681,311,310,Streptococcus sp. F0442 [ref_mOTU_v25_00313],0
-0.090202,0.10441,316,315,Bacteria sp. [ref_mOTU_v25_00318],15
-0.064831,0.00086858,319,318,Bacteria sp. [ref_mOTU_v25_00321],0
-0.043434,0.026375,338,337,Staphylococcus aureus [ref_mOTU_v25_00340],0
-0.06239,-0.031717,341,340,Staphylococcus aureus/haemolyticus [ref_mOTU_v25_00343],0
0.031132,0.080856,342,341,Bacilli sp. [ref_mOTU_v25_00344],65
-0.10317,0.028871,343,342,Staphylococcus epidermidis [ref_mOTU_v25_00346],69
-0.039503,-0.024821,562,561,Streptococcus anginosus/intermedius [ref_mOTU_v25_00567],2
0.052904,-0.09822,713,712,Eggerthella lenta [ref_mOTU_v25_00719],0
-0.068393,-0.13807,794,793,Cutibacterium acnes [ref_mOTU_v25_00800],1
0.19017,-0.14793,849,848,Bacteroides rodentium/uniformis [ref_mOTU_v25_00855],0
-0.10423,-0.14263,932,931,Haemophilus sp. [ref_mOTU_v25_00939],0
-0.064677,-0.036056,1055,1054,Staphylococcus lugdunensis [ref_mOTU_v25_01063],0
-0.12236,0.0078929,1060,1059,Haemophilus influenzae/parainfluenzae [ref_mOTU_v25_01068],0
0.038284,-0.062084,1090,1089,Bifidobacterium breve [ref_mOTU_v25_01098],317
0.21633,-0.061009,1091,1090,Bifidobacterium longum [ref_mOTU_v25_01099],1750
-0.058429,0.12243,1338,1337,Streptococcus thermophilus [ref_mOTU_v25_01348],0
-0.0056581,0.095081,1339,1338,Streptococcus salivarius [ref_mOTU_v25_01349],0
-0.082733,0.25875,1340,1339,Streptococcus sp. [ref_mOTU_v25_01350],15
0.11628,-0.12455,1565,1564,Bacteroides stercoris [ref_mOTU_v25_01579],0
0.016485,-0.058557,1580,1579,[Ruminococcus] gnavus [ref_mOTU_v25_01594],0
0.1381,-0.11659,1583,1582,Bacteroides cellulosilyticus/fragilis [ref_mOTU_v25_01597],1
-0.1277,0.19188,1592,1591,Clostridium perfringens [ref_mOTU_v25_01606],0
0.15526,-0.16123,1643,1642,Bacteroides faecis/thetaiotaomicron [ref_mOTU_v25_01657],0
-0.14985,-0.1282,1896,1895,Actinobacteria sp. [ref_mOTU_v25_01911],0
-0.1152,0.17726,1923,1922,Veillonella parvula [ref_mOTU_v25_01938],1
-0.15026,0.21166,1924,1923,Veillonella rogosae [ref_mOTU_v25_01939],0
-0.15304,0.25705,1925,1924,Veillonella dispar [ref_mOTU_v25_01940],0
-0.10966,0.20139,1926,1925,Veillonella atypica [ref_mOTU_v25_01941],0
-0.07768,-0.16844,2186,2185,Corynebacterium pseudodiphtheriticum [ref_mOTU_v25_02202],0
0.26526,-0.12682,2350,2349,Bacteroides dorei/vulgatus [ref_mOTU_v25_02367],0
-0.054072,0.080892,2677,2676,Bifidobacterium dentium [ref_mOTU_v25_02698],0
0.14099,-0.053499,2679,2678,Bifidobacterium pseudocatenulatum [ref_mOTU_v25_02700],2202
0.16742,-0.049237,2680,2679,Bifidobacterium catenulatum/kashiwanohense [ref_mOTU_v25_02701],366
0.15766,-0.050036,2681,2680,Bifidobacterium ruminantium [ref_mOTU_v25_02702],0
0.17989,-0.035203,2682,2681,Bifidobacterium adolescentis [ref_mOTU_v25_02703],0
-0.047525,-0.040834,2841,2840,Cutibacterium avidum [ref_mOTU_v25_02864],0
0.085287,-0.055952,3089,3088,Bifidobacterium bifidum [ref_mOTU_v25_03116],0
0.13216,-0.12768,3435,3434,Bacteroides caccae [ref_mOTU_v25_03473],0
0.18131,-0.13914,3437,3436,Bacteroides sp. [ref_mOTU_v25_03475],0
0.22277,-0.063935,3588,3587,Collinsella aerofaciens [ref_mOTU_v25_03626],0
0.21708,-0.1774,3602,3601,Parabacteroides distasonis [ref_mOTU_v25_03640],0
0.044295,-0.063596,3631,3630,Veillonella seminalis [ref_mOTU_v25_03669],0
-0.078154,-0.034474,3649,3648,Intestinibacter bartlettii [ref_mOTU_v25_03687],0
-0.08852,-0.14061,4154,4153,Gemella haemolysans [ref_mOTU_v25_04194],1
-0.10801,0.015124,4293,4292,Clostridium saudiense/disporicum [ref_mOTU_v25_04336],0
-0.099912,-0.092598,5200,5199,Rothia mucilaginosa [ref_mOTU_v25_05264],0
-0.12691,-0.062768,5201,5200,Rothia mucilaginosa [ref_mOTU_v25_05265],0
0.16333,-0.15445,5336,5335,Parabacteroides merdae [ref_mOTU_v25_05401],0
-0.14908,0.26164,12824,12823,Veillonella species incertae sedis [meta_mOTU_v25_13135],0
